Day Index,Users
12/18/2017,"40,585"
12/19/2017,"43,039"
12/20/2017,"44,926"
12/21/2017,"41,256"
12/22/2017,"36,844"
12/23/2017,"28,955"
12/24/2017,"26,113"
12/25/2017,"28,433"
12/26/2017,"32,687"
12/27/2017,"35,689"
12/28/2017,"33,656"
12/29/2017,"34,559"
12/30/2017,"29,197"
12/31/2017,"26,495"
1/1/2018,"28,291"
1/2/2018,"35,472"
1/3/2018,"38,363"
1/4/2018,"41,645"
1/5/2018,"40,268"
1/6/2018,"32,846"
1/7/2018,"33,560"
1/8/2018,"39,327"
1/9/2018,"42,947"
1/10/2018,"44,179"
1/11/2018,"41,938"
1/12/2018,"40,964"
1/13/2018,"32,176"
1/14/2018,"28,915"
1/15/2018,"37,077"
1/16/2018,"41,477"
1/17/2018,"41,840"
